ID	周一	周二	周三	周四	周五	周六	周日
17	5254;5255;5256;5257	5254;5255;5256;5257	5254;5255;5256;5257	5254;5255;5256;5257	5254;5255;5256;5257	5254;5255;5256;5257	5254;5255;5256;5257
18	5258;5259;5260;5261	5258;5259;5260;5261	5258;5259;5260;5261	5258;5259;5260;5261	5258;5259;5260;5261	5258;5259;5260;5261	5258;5259;5260;5261
19	5262;5263;5264;	5262;5263;5264;	5262;5263;5264;	5262;5263;5264;	5262;5263;5264;	5262;5263;5264;	5262;5263;5264
20	5257;5261;5265	5257;5261;5265	5257;5261;5265	5257;5261;5265	5257;5261;5265	5257;5261;5265	5257;5261;5265
21	5214;5215;5216;5217	5214;5215;5216;5217	5214;5215;5216;5217	5214;5215;5216;5217	5214;5215;5216;5217	5214;5215;5216;5217	5214;5215;5216;5217
22	5218;5219;5220;5221	5218;5219;5220;5221	5218;5219;5220;5221	5218;5219;5220;5221	5218;5219;5220;5221	5218;5219;5220;5221	5218;5219;5220;5221
23	5222;5223;5224;	5222;5223;5224;	5222;5223;5224;	5222;5223;5224;	5222;5223;5224;	5222;5223;5224;	5222;5223;5224
24	5217;5221;5225	5217;5221;5225	5217;5221;5225	5217;5221;5225	5217;5221;5225	5217;5221;5225	5217;5221;5225
25	4210;4211;4212;4213	4210;4211;4212;4213	4210;4211;4212;4213	4210;4211;4212;4213	4210;4211;4212;4213	4210;4211;4212;4213	4210;4211;4212;4213
26	4220;4221;4222;4223	4220;4221;4222;4223	4220;4221;4222;4223	4220;4221;4222;4223	4220;4221;4222;4223	4220;4221;4222;4223	4220;4221;4222;4223
27	4230;4231;4232;	4230;4231;4232;	4230;4231;4232;	4230;4231;4232;	4230;4231;4232;	4230;4231;4232;	4230;4231;4232
28	4213;4223;4233	4213;4223;4233	4213;4223;4233	4213;4223;4233	4213;4223;4233	4213;4223;4233	4213;4223;4233
29	4310;4311;4312;4313	4310;4311;4312;4313	4310;4311;4312;4313	4310;4311;4312;4313	4310;4311;4312;4313	4310;4311;4312;4313	4310;4311;4312;4313
30	4320;4321;4322;4323	4320;4321;4322;4323	4320;4321;4322;4323	4320;4321;4322;4323	4320;4321;4322;4323	4320;4321;4322;4323	4320;4321;4322;4323
31	4330;4331;4332;	4330;4331;4332;	4330;4331;4332;	4330;4331;4332;	4330;4331;4332;	4330;4331;4332;	4330;4331;4332
32	4313;4323;4333	4313;4323;4333	4313;4323;4333	4313;4323;4333	4313;4323;4333	4313;4323;4333	4313;4323;4333
33	4400;4401;4402;4403	4400;4401;4402;4403	4400;4401;4402;4403	4400;4401;4402;4403	4400;4401;4402;4403	4400;4401;4402;4403	4400;4401;4402;4403
34	4410;4411;4412;4413	4410;4411;4412;4413	4410;4411;4412;4413	4410;4411;4412;4413	4410;4411;4412;4413	4410;4411;4412;4413	4410;4411;4412;4413
35	4420;4421;4422;	4420;4421;4422;	4420;4421;4422;	4420;4421;4422;	4420;4421;4422;	4420;4421;4422;	4420;4421;4422
36	4403;4413;4423	4403;4413;4423	4403;4413;4423	4403;4413;4423	4403;4413;4423	4403;4413;4423	4403;4413;4423
37	4340;4341;4342;4343	4340;4341;4342;4343	4340;4341;4342;4343	4340;4341;4342;4343	4340;4341;4342;4343	4340;4341;4342;4343	4340;4341;4342;4343
38	4350;4351;4352;4353	4350;4351;4352;4353	4350;4351;4352;4353	4350;4351;4352;4353	4350;4351;4352;4353	4350;4351;4352;4353	4350;4351;4352;4353
39	4360;4361;4362;	4360;4361;4362;	4360;4361;4362;	4360;4361;4362;	4360;4361;4362;	4360;4361;4362;	4360;4361;4362
40	4343;4353;4363	4343;4353;4363	4343;4353;4363	4343;4353;4363	4343;4353;4363	4343;4353;4363	4343;4353;4363
41	4430;4431,4432,4433	4430;4431,4432,4433	4430;4431,4432,4433	4430;4431,4432,4433	4430;4431,4432,4433	4430;4431,4432,4433	4430;4431,4432,4433
42	4440;4441;4442;4443	4440;4441;4442;4443	4440;4441;4442;4443	4440;4441;4442;4443	4440;4441;4442;4443	4440;4441;4442;4443	4440;4441;4442;4443
43	4450;4451;4452;	4450;4451;4452;	4450;4451;4452;	4450;4451;4452;	4450;4451;4452;	4450;4451;4452;	4450;4451;4452
44	4433;4443;4453	4433;4443;4453	4433;4443;4453	4433;4443;4453	4433;4443;4453	4433;4443;4453	4433;4443;4453
45	4370;4371;4372;4373	4370;4371;4372;4373	4370;4371;4372;4373	4370;4371;4372;4373	4370;4371;4372;4373	4370;4371;4372;4373	4370;4371;4372;4373
46	4374;4375;4376;4377	4374;4375;4376;4377	4374;4375;4376;4377	4374;4375;4376;4377	4374;4375;4376;4377	4374;4375;4376;4377	4374;4375;4376;4377
47	4378;4379;4380;	4378;4379;4380;	4378;4379;4380;	4378;4379;4380;	4378;4379;4380;	4378;4379;4380;	4378;4379;4380
48	4373;4377;4381	4373;4377;4381	4373;4377;4381	4373;4377;4381	4373;4377;4381	4373;4377;4381	4373;4377;4381
